이름,업종,전화번호,주소,평점,휴일
메종글래드 제주 삼다정  ,뷔페,(064) 710-8231,제주 제주시 연동 263-15,4.2,연중무휴
딤섬9898  ,중식-일반,(070) 4548-9898,제주 제주시 노형동 3782-8 행복한 빌딩 102호,4.0,연중무휴
우리집횟집  ,일식-생선회,(064) 743-2280,제주 제주시 노형동 755,3.8,연중무휴
산골숯불왕소금구이  ,한식-삼겹살,(064) 794-3534,제주 서귀포시 안덕면 동광리 525-3,3.9,매주 목요일
도도톳김밥  ,분식,(010) 3366-9870,제주 제주시 구좌읍 세화리 1477-15,4.0,연중무휴
유리네  ,한식-일반한식,(064) 748-0890,제주 제주시 연동 427-1,3.1,"첫째, 셋째주 목요일"
은희네해장국  ,한식-일반한식,(064) 726-5622,제주 제주시 일도이동 357-4,3.9,목요일휴무
표선해녀의집식당  ,한식,(064) 787-6844,제주 서귀포시 표선면 표선리 2384,3.8,연중무휴
중앙식당  ,한식-해물요리,(064) 794-9167,제주 서귀포시 안덕면 화순리 1077-1,3.5,연중무휴
용이식당  ,한식-일반한식,(064) 732-7892,제주 서귀포시 서귀동 297-7,3.6,"1,3주수요일휴무"
진주식당  ,한식-해물요리,(064) 762-5158,제주 서귀포시 서귀동 314-7,3.6,연중무휴
태광식당  ,한식-일반한식,(064) 751-1071,제주 제주시 용담일동 119,3.3,일요일휴무
제주미향  ,한식,(064) 738-8588,제주 서귀포시 색달동 2477,3.7,없음
황금고팡  ,한식-해물요리,(064) 784-7177,제주 제주시 조천읍 함덕리 1002-15,3.7,매주 수요일 오전 휴무
3대해녀의집  ,한식-해물요리,(064) 784-4886,제주 서귀포시 성산읍 온평리 707-1,4.0,연중무휴
